Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:31:57,0.72,0.67,-0.25,2.69,-0.55,0.31
2025-02-13,13:31:58,0.72,0.68,-0.26,-1.65,-0.37,-0.55
2025-02-13,13:31:58,0.72,0.67,-0.26,0.31,-0.43,0.06
2025-02-13,13:31:59,0.72,0.67,-0.26,0.92,-0.49,0.24
2025-02-13,13:31:59,0.56,0.74,0.14,76.11,15.87,-15.14
2025-02-13,13:32:0,-0.09,0.95,0.08,15.14,105.47,-339.54
2025-02-13,13:32:0,0.66,-0.92,1.41,11.11,-108.58,-162.72
2025-02-13,13:32:1,0.63,-0.18,0.83,171.51,-32.23,59.88
2025-02-13,13:32:1,0.67,0.15,0.45,-178.22,-71.35,-13.43
2025-02-13,13:32:2,0.76,-0.06,1.05,-33.87,75.87,40.77
2025-02-13,13:32:2,-0.48,1.02,-0.04,-206.85,112.61,289.12
2025-02-13,13:32:3,-0.15,0.65,0.74,126.59,-249.02,-60.97
2025-02-13,13:32:3,1.04,0.14,0.48,-17.33,62.56,-22.64
2025-02-13,13:32:4,0.97,0.17,0.35,46.08,108.03,19.47
2025-02-13,13:32:4,0.10,0.78,0.41,-12.45,136.11,63.84
2025-02-13,13:32:5,-0.11,0.90,0.47,7.02,9.40,-16.48
2025-02-13,13:32:5,-0.33,0.79,0.48,-0.31,-12.02,2.99
2025-02-13,13:32:6,-0.32,0.80,0.43,-0.06,0.92,3.66
2025-02-13,13:32:6,-0.37,0.73,0.54,3.23,-6.77,-3.54
2025-02-13,13:32:7,-0.35,0.84,0.49,5.62,6.53,-11.41
2025-02-13,13:32:7,-0.34,0.85,0.35,0.73,-6.96,-1.40
2025-02-13,13:32:8,-0.17,0.97,0.66,-13.85,20.69,-2.20
2025-02-13,13:32:8,-0.43,0.84,0.70,98.75,-120.48,-15.01
2025-02-13,13:32:9,-0.31,0.58,0.52,32.96,-27.10,-3.78
2025-02-13,13:32:9,-0.18,0.87,0.58,-1.83,-9.46,-6.84
2025-02-13,13:32:10,-0.22,0.87,0.42,-0.67,10.38,11.78
2025-02-13,13:32:10,-0.24,0.97,0.39,-9.77,22.09,5.68
2025-02-13,13:32:11,-0.21,0.85,0.38,-7.87,7.26,5.62
2025-02-13,13:32:11,-0.17,0.73,0.34,-11.35,36.50,61.40
2025-02-13,13:32:12,-0.15,0.72,0.40,4.46,-2.32,0.37
2025-02-13,13:32:12,0.01,0.81,0.59,28.38,15.14,-12.51
2025-02-13,13:32:13,-0.20,0.83,0.29,48.40,-18.86,-21.12
2025-02-13,13:32:13,-0.07,1.09,-0.20,-11.47,10.86,15.08
2025-02-13,13:32:14,0.22,1.19,0.05,-2.81,13.49,25.45
2025-02-13,13:32:14,0.35,1.06,0.25,-7.87,20.08,3.85
2025-02-13,13:32:15,0.33,1.08,0.06,-3.66,19.90,-129.33
2025-02-13,13:32:15,-0.18,0.88,0.19,-70.62,-33.69,26.73
2025-02-13,13:32:16,0.15,1.05,0.12,14.71,-45.04,-18.43
2025-02-13,13:32:16,0.29,0.95,-0.17,-52.00,33.87,-34.18
2025-02-13,13:32:17,0.24,0.93,0.14,-15.50,3.97,9.28
2025-02-13,13:32:17,0.37,0.60,0.50,-139.95,41.26,84.23
2025-02-13,13:32:18,0.61,0.78,0.57,16.30,-20.94,-28.26
2025-02-13,13:32:18,0.48,0.92,0.36,12.33,35.71,-12.33
2025-02-13,13:32:19,0.52,0.52,0.19,-72.69,-30.82,69.21
2025-02-13,13:32:19,0.56,0.84,0.44,-32.71,14.47,-5.86
2025-02-13,13:32:20,0.60,0.58,0.56,-4.15,-13.73,-7.57
2025-02-13,13:32:20,0.61,0.55,0.59,-8.79,-43.52,5.55
2025-02-13,13:32:21,0.50,0.87,0.68,30.33,15.50,-23.74
2025-02-13,13:32:21,0.26,0.73,0.49,-10.74,18.92,-38.94
2025-02-13,13:32:22,-0.06,0.81,0.46,-19.90,11.78,26.18
2025-02-13,13:32:22,0.10,0.67,0.67,4.52,-78.12,-57.31
2025-02-13,13:32:23,-0.20,0.15,0.80,-13.61,56.09,-8.30
2025-02-13,13:32:23,0.04,0.37,1.19,25.39,39.25,30.27
2025-02-13,13:32:24,0.06,0.56,-0.98,-0.67,-32.41,2.62
2025-02-13,13:32:24,-0.05,0.59,-1.16,11.66,-147.03,-126.22
2025-02-13,13:32:25,-0.35,0.12,0.98,-1.95,-5.86,-1.59
2025-02-13,13:32:25,0.66,-0.10,1.54,108.28,742.86,49.01
2025-02-13,13:32:26,-0.12,0.51,-0.80,25.15,32.78,-11.35
2025-02-13,13:32:26,0.89,-0.47,0.61,-92.16,-646.48,-111.69
2025-02-13,13:32:27,-0.46,0.04,1.10,45.96,96.13,-16.24
2025-02-13,13:32:27,-0.03,0.26,-0.71,12.51,-11.78,-14.53
2025-02-13,13:32:28,-0.22,-0.29,2.38,37.29,-92.59,-52.43
2025-02-13,13:32:28,-0.35,0.20,0.91,9.16,1.83,7.87
2025-02-13,13:32:29,-0.40,0.09,0.91,40.34,6.59,-3.91
2025-02-13,13:32:29,-0.54,-0.01,1.14,38.39,-42.36,-16.97
2025-02-13,13:32:30,-0.43,-0.20,0.84,96.01,-68.48,77.58
2025-02-13,13:32:30,-0.22,-0.33,0.70,7.81,21.36,-24.11
2025-02-13,13:32:31,-0.30,-0.16,0.93,7.51,-15.32,-33.33
2025-02-13,13:32:31,-0.16,-0.32,1.09,8.36,9.89,-7.93
2025-02-13,13:32:32,-0.31,-0.13,1.02,-48.71,-2.08,-10.56
2025-02-13,13:32:32,-0.64,0.54,0.68,-17.64,85.39,-8.85
2025-02-13,13:32:33,-0.24,0.02,-1.02,-33.75,199.89,-23.50
2025-02-13,13:32:33,-0.11,0.16,-0.92,-8.06,14.95,-0.12
2025-02-13,13:32:34,0.19,0.54,0.69,112.12,-244.08,131.90
2025-02-13,13:32:34,-0.26,1.23,0.91,16.36,114.87,-95.83
2025-02-13,13:32:35,-0.15,-0.01,-1.24,-71.90,112.61,-102.78
2025-02-13,13:32:35,-0.51,0.03,-0.48,14.34,-273.25,102.29
2025-02-13,13:32:36,-0.19,0.69,0.60,45.41,-51.09,17.76
2025-02-13,13:32:36,-0.53,0.66,0.16,-90.58,103.33,-28.99
2025-02-13,13:32:37,-0.19,1.54,-0.83,25.51,-90.82,42.18
2025-02-13,13:32:37,-0.06,-0.10,-0.61,-157.23,45.96,-56.70
2025-02-13,13:32:38,-0.39,0.76,-0.14,88.32,99.79,-305.85
2025-02-13,13:32:38,0.13,-0.76,-1.13,10.86,-301.70,241.46
2025-02-13,13:32:39,-1.26,0.96,-0.59,43.15,133.54,-284.06
2025-02-13,13:32:39,-0.96,0.46,-0.21,-144.96,186.58,1.65
2025-02-13,13:32:40,-0.83,0.36,-0.25,-125.43,85.27,-25.51
2025-02-13,13:32:40,-0.67,0.94,-0.64,24.54,-8.91,-113.65
2025-02-13,13:32:41,-0.21,1.27,-1.27,97.35,-127.56,-180.24
2025-02-13,13:32:41,-0.65,0.37,0.17,37.05,-73.49,69.64
2025-02-13,13:32:42,-0.11,0.77,-0.45,-3.36,272.71,-34.06
2025-02-13,13:32:42,-0.86,0.85,0.30,0.24,74.83,-110.90
2025-02-13,13:32:43,-0.29,0.04,-0.08,-7.20,38.21,185.06
2025-02-13,13:32:43,0.61,1.37,0.13,-8.48,47.18,63.23
2025-02-13,13:32:44,-0.52,-0.17,-0.72,85.02,20.02,-135.07
2025-02-13,13:32:44,-0.41,0.82,-0.57,-27.34,19.53,70.74
2025-02-13,13:32:45,0.25,0.96,-0.88,-24.72,-99.79,-100.71
2025-02-13,13:32:45,-0.81,-0.02,-0.09,50.96,-45.72,-51.94
2025-02-13,13:32:46,-0.44,0.88,-1.09,42.85,-127.81,-174.68
2025-02-13,13:32:46,0.40,1.15,-1.14,29.05,50.54,-139.40
